id,title,long_id,short_id,pub_year,citation_message
1,"Graph foundation models: Concepts, opportunities and challenges",OlLjVUcAAAAJ:JQOojiI6XY0C,JQOojiI6XY0C,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:JQOojiI6XY0C'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2FJQOojiI6XY0C.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
2,Can large language models improve the adversarial robustness of graph neural networks?,OlLjVUcAAAAJ:5ugPr518TE4C,5ugPr518TE4C,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:5ugPr518TE4C'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2F5ugPr518TE4C.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
3,Pathrag: Pruning graph-based retrieval augmented generation with relational paths,OlLjVUcAAAAJ:PR6Y55bgFSsC,PR6Y55bgFSsC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:PR6Y55bgFSsC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2FPR6Y55bgFSsC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
4,Multi-Agent Collaboration via Evolving Orchestration,OlLjVUcAAAAJ:Fu2w8maKXqMC,Fu2w8maKXqMC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:Fu2w8maKXqMC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2FFu2w8maKXqMC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
5,Federated graph condensation with information bottleneck principles,OlLjVUcAAAAJ:dTyEYWd-f8wC,dTyEYWd-f8wC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:dTyEYWd-f8wC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2FdTyEYWd-f8wC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
6,Graph Foundation Models for Recommendation: A Comprehensive Survey,OlLjVUcAAAAJ:uLbwQdceFCQC,uLbwQdceFCQC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:uLbwQdceFCQC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2FuLbwQdceFCQC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
7,Flag: Fraud detection with llm-enhanced graph neural network,OlLjVUcAAAAJ:evX43VCCuoAC,evX43VCCuoAC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:evX43VCCuoAC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2FevX43VCCuoAC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
8,Invariant debiasing learning for recommendation via biased imputation,OlLjVUcAAAAJ:1yQoGdGgb4wC,1yQoGdGgb4wC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:1yQoGdGgb4wC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2F1yQoGdGgb4wC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
9,Efficient multi-task prompt tuning for recommendation,OlLjVUcAAAAJ:bnK-pcrLprsC,bnK-pcrLprsC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:bnK-pcrLprsC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2FbnK-pcrLprsC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
10,Multi-agent collaboration via cross-team orchestration,OlLjVUcAAAAJ:j8SEvjWlNXcC,j8SEvjWlNXcC,2025,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:j8SEvjWlNXcC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Falbertyang33%2Falbertyang33.github.io%2Fgoogle-scholar-stats%2Fselected_pubs%2Fj8SEvjWlNXcC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
