id,title,authors,arxiv_link,gs_year
1,Chatdev: Communicative agents for software development,"Chen Qian, Wei Liu, Hongzhang Liu, Nuo Chen, Yufan Dang, Jiahao Li, Cheng Yang, Weize Chen, Yusheng Su, Xin Cong, Juyuan Xu, Dahai Li, Zhiyuan Liu, Maosong Sun",https://arxiv.org/abs/2307.07924v5,2024
2,Tool learning with foundation models,"Yujia Qin, Shengding Hu, Yankai Lin, Weize Chen, Ning Ding, Ganqu Cui, Zheni Zeng, Yufei Huang, Chaojun Xiao, Chi Han, Yi Ren Fung, Yusheng Su, Huadong Wang, Cheng Qian, Runchu Tian, Kunlun Zhu, Shihao Liang, Xingyu Shen, Bokai Xu, Zhen Zhang, Yining Ye, Bowen Li, Ziwei Tang, Jing Yi, Yuzhang Zhu, Zhenning Dai, Lan Yan, Xin Cong, Yaxi Lu, Weilin Zhao, Yuxiang Huang, Junxi Yan, Xu Han, Xian Sun, Dahai Li, Jason Phang, Cheng Yang, Tongshuang Wu, Heng Ji, Zhiyuan Liu, Maosong Sun",https://arxiv.org/abs/2304.08354v3,2024
3,GraphTranslator: Aligning Graph Model to Large Language Model for Open-ended Tasks,"Mengmei Zhang, Mingwei Sun, Peng Wang, Shen Fan, Yanhu Mo, Xiaoxiao Xu, Hong Liu, Cheng Yang, Chuan Shi",https://arxiv.org/abs/2402.07197v4,2024
4,Internet of agents: Weaving a web of heterogeneous agents for collaborative intelligence,"Weize Chen, Ziming You, Ran Li, Yitong Guan, Chen Qian, Chenyang Zhao, Cheng Yang, Ruobing Xie, Zhiyuan Liu, Maosong Sun",https://arxiv.org/abs/2407.07061v2,2024
5,Data-centric graph learning: A survey,"Yuxin Guo, Deyu Bo, Cheng Yang, Zhiyuan Lu, Zhongjian Zhang, Jixi Liu, Yufei Peng, Chuan Shi",https://arxiv.org/abs/2310.04987v3,2024
6,Graph invariant learning with subgraph co-mixup for out-of-distribution generalization,"Tianrui Jia, Haoyang Li, Cheng Yang, Tao Tao, Chuan Shi",https://arxiv.org/abs/2312.10988v1,2024
7,ChatMol: interactive molecular discovery with natural language,Not Found,Not Found,2024
8,Multi-Agent Software Development through Cross-Team Collaboration,"Zhuoyun Du, Chen Qian, Wei Liu, Zihao Xie, Yifei Wang, Yufan Dang, Weize Chen, Cheng Yang",https://arxiv.org/abs/2406.08979v1,2024
9,FairSIN: Achieving Fairness in Graph Neural Networks through Sensitive Information Neutralization,"Cheng Yang, Jixi Liu, Yunhe Yan, Chuan Shi",https://arxiv.org/abs/2403.12474v1,2024
10,Iterative Experience Refinement of Software-Developing Agents,"Chen Qian, Jiahao Li, Yufan Dang, Wei Liu, YiFei Wang, Zihao Xie, Weize Chen, Cheng Yang, Yingli Zhang, Zhiyuan Liu, Maosong Sun",https://arxiv.org/abs/2405.04219v1,2024
11,Beyond Natural Language: LLMs Leveraging Alternative Formats for Enhanced Reasoning and Communication,"Weize Chen, Chenfei Yuan, Jiarui Yuan, Yusheng Su, Chen Qian, Cheng Yang, Ruobing Xie, Zhiyuan Liu, Maosong Sun",https://arxiv.org/abs/2402.18439v3,2024
12,Injecting multimodal information into rigid protein docking via bi-level optimization,Not Found,Not Found,2024
13,Autonomous agents for collaborative task under information asymmetry,"Wei Liu, Chenxi Wang, Yifei Wang, Zihao Xie, Rennai Qiu, Yufan Dang, Zhuoyun Du, Weize Chen, Cheng Yang, Chen Qian",https://arxiv.org/abs/2406.14928v2,2024
14,Scaling Large-Language-Model-based Multi-Agent Collaboration,"Chen Qian, Zihao Xie, Yifei Wang, Wei Liu, Yufan Dang, Zhuoyun Du, Weize Chen, Cheng Yang, Zhiyuan Liu, Maosong Sun",https://arxiv.org/abs/2406.07155v1,2024
